id,detected_objects,Dominant Emotion,Dominant Race,gender,age,age_group,text,sentiment_analysis
1235,person,happy,middle eastern,man,43,35-44 years,when you're feeling horny asf but your habibi is on periods let's try a goat,bad
1236,"person, sheep, sheep, sheep, person, sheep, sheep, sheep, sheep, person, person, person, sheep, cow",happy,middle eastern,man,35,35-44 years,meanwhile at the isis strip club,bad
1243,dog,,,,,,"when your human says ""who' s a good girl?""  and you already know it's you",neutral
1245,person,,,,,,and that was the last nativity play my son was invited to take part in.,bad
1247,"tie, person",sad,white,man,28,25-34 years,you can't be racist if there is no other race,good
1256,dog,,,,,,when your debit card decline at the abortion clinic  and they have to put the baby back in,neutral
1258,"person, umbrella, backpack, umbrella",,,,,,ladies! if your man is offended by this he is a faggot. end of story,neutral
1264,bear,,,,,,you're a special kinda nuts  aren't you?,bad
1268,"person, chair, couch, chair",fear,asian,man,34,25-34 years,father and daughter bonding time is the best like and share if you agree,neutral
1269,teddy bear,,,,,,"The text in the image says:  ""kermit the frog definitely not a muslim""",neutral
1274,"person, bed",neutral,asian,man,39,35-44 years,how you guys think you looks like  but when pados wale pandit jee sees you  taba renso,neutral
1275,"tie, person, motorcycle",angry,black,man,41,35-44 years,if you think t willl stop eating palony and viannas  voetsek!!!  stupid no drama here,bad
1276,person,,,,,,a smile is worth a thousand words,bad
1284,person,,,,,,"The text in the image says:  ""muslims offend me""",bad
1293,bird,,,,,,when you forget to wash your hands,bad
1295,"chair, chair, person, chair, chair, chair, chair",,,,,,"The text in the image reads:  ""men wearing dresses and molestinging our children? the word you're looking for is clergy, not transgender""",bad
1324,"person, person, book, person, person, book, person, tie, person, person",happy,white,man,37,35-44 years,the great train robbers,bad
1325,person,,,,,,when your world cup team scores a goal,bad
1327,person,,,,,,"I'm not sick, I'm twisted sick makes it sound like there's a cure",bad
1329,"person, person, suitcase",,,,,,saddle up motherfuckers  it's time to play cowboys,bad
1348,"person, sheep, sheep, sheep, person, sheep, sheep, sheep, sheep, person, person, person, sheep, cow",happy,middle eastern,man,35,35-44 years,meanwhile  at the isis strip club,bad
1349,"person, person",happy,asian,man,24,18-24 years,girl you're so special  i'm gonna give you a gold star,good
1359,"person, person, tie, cell phone, tie",angry,latino hispanic,man,26,25-34 years,area 51 naruto runners  naruto runners  let me in let me in!,bad
1364,"person, person, person, person, person",sad,white,man,23,18-24 years,and that was the last nativity play my son was invited to take part in,bad
1379,"person, person, person",,,,,,"The text in the image reads:  ""american teenage girl visiting the children of africa""",bad
1382,person,,,,,,The text in the image is:  - my body my choice - Abortion,neutral
1389,"cat, person",,,,,,confession-every sunday around brunch time  i take my cat to the mall and make people take pictures of us,bad
1392,"cell phone, person",happy,black,man,29,25-34 years,hello jesus  thanks for making a way!,bad
1395,"person, person",fear,asian,man,33,25-34 years,i just found out mexican babies come out just like the food,bad
1423,"person, bed",,,,,,when you want to nap after a long day of mudding,neutral
1436,,,,,,,when the school shooter accidently shoots the autistic kid but doesn't know that the tard strength makes him impervious to bullets,bad
1439,"cow, cow",,,,,,"The text in the image reads:  ""im long and strong and down to get the goat hump on""",bad
1452,bird,,,,,,the feeling after a long day at work,bad
1456,"person, person, person, person, person, person, person, person, person, person, person, tie, person, person, person, person, tie, person, person, person, person, person",,,,,,they see them rollin..... they hating...,bad
1459,person,,,,,,trust me...  ...they're re all terrorists,bad
1465,"person, person, person, person, person, handbag, person",,,,,,there is difference between violating muslims and other muslims  don't get confused,bad
1467,person,happy,middle eastern,man,24,18-24 years,It's a great day to be a honky!,bad
1468,"person, sink, toilet",fear,white,woman,28,25-34 years,"assad: my son exploded  better than yours, lol hamid:",bad
1469,person,,,,,,"The text in the image is:  ""When you punch the muslim kid so hard that he starts having seizures and fucking dies the bomb has been defused""",bad
1472,"person, cup, chair",neutral,asian,woman,29,25-34 years,in my country this headdress is common to wear if you want to. here in other countries i am also free to wear it if i want to,bad
1475,"tie, person",,,,,,"The text in the image is:  ""last time muslims invaded europe vlad stuck poles up their asses and made a fucking forest be like vlad""",good
1476,person,sad,white,woman,30,25-34 years,I'm confident in my own skin,bad
1483,"person, person, person, person, person, person, person, person, person, person, person, person, person, person",sad,black,man,31,25-34 years,"feeling bored, let's go to a mosque",bad
1487,"person, book",fear,white,man,37,35-44 years,When you forget you're retarded Howard Stern 1-90-STEEN Howard Stern,bad
1492,person,neutral,asian,man,28,25-34 years,i don't like the sun so i wear a visor,bad
1497,"person, bottle, person, umbrella",,,,,,now back to the Islamic classic.. married to children,bad
1498,person,fear,white,woman,29,25-34 years,democrats claim daca kids shouldn't have to pay for their parent's crimes...  ...but white people are still responsible for 17th century slave owners??,good
1524,"person, cell phone, person",,,,,,when you catch your goat with another man,neutral
1526,"person, keyboard, tv, cell phone",happy,white,woman,31,25-34 years,put the money in a bag. now! that will be $0.15,bad
1527,person,,,,,,oh no i can't run anymore,good
1529,"person, person, person, person, person, person, person, person, person, person",,,,,,acceptance of individuality is not a disgusting thing,bad
1546,"person, tie",,,,,,"The text in the image says:  ""kill the jews and muslims for being anti-white""",bad
1547,"cup, cup, bowl, cup, bottle, cup, bowl, cup, person, bottle, person, bowl, bowl, bowl, person, bottle, bowl, person, cup, cup, cup, spoon, spoon, wine glass, bowl, carrot",happy,white,woman,30,25-34 years,how mexicans be like...  when they hear their friends kid is having a birthday party,bad
1548,"person, person",neutral,white,woman,35,35-44 years,"what are they fighting over? is it:  a) the last pan ducle b) he accidentally touch the homies hand passing a beer? c) foo used the last of the three flowers. d) homie said ""i got you on gas"" but he only has $3!",bad
1564,person,happy,white,man,28,25-34 years,puts on sunblock doesn't protect from harmful rays,bad
1568,person,,,,,,"The text in the image reads:  ""do you think a terrorist has or could infiltrate our goverernment???""",bad
1569,"person, person, spoon, chair, bowl, potted plant",,,,,,when you can't decide to pre heat the oven  or just throw the meal in right away,bad
1576,"person, bird",,,,,,"The text in the image is:  ""When your ex ask you for help""",bad
1578,"person, person, person, person, person, person, person, person, sports ball, person, person, person, person, person, frisbee",,,,,,"The text in the image says ""sea monkeys.""",bad
1579,"person, person, person, person, person, person, person, person, person, backpack, baseball glove",,,,,,"Muslim figure: ""We must have pork-free menus or we will leave U.S.""  Bacon America great again!",good
1589,person,neutral,white,man,45,45-54 years,has an orgasm...  ...shoots out tranny fluid,bad
1598,dog,,,,,,men are like dogs we're excited to see you...  and have no clue what you're mad about,bad
1627,,,,,,,jew jerky: leave out in the sun until all moisture is gone  store in a cool dark place for 3 days,bad
1634,"person, sheep, scissors, scissors",,,,,,"aye, tone! why would dey delouse 'em if dey was just gonna whack 'em?!""",bad
1637,,,,,,,this time jesus you're not getting away,bad
1642,person,,,,,,this would be racist  if black people could read,bad
1643,"person, person, toothbrush, toothbrush",neutral,latino hispanic,woman,25,25-34 years,i'm not a racist  my shadow is black,neutral
1649,"person, tie",happy,white,man,44,35-44 years,"The text in the image reads:  ""american cops when they graduate police academy let the black man come forth! let murder be done upon him!""",good
1653,"person, cat, person",,,,,,"a girl asks her mom, ""why am i black and you're white?""  she says, ""the way that party went, you're lucky you don't bark.""",good
1658,"person, person",neutral,white,woman,28,25-34 years,first rule of fight club..,bad
1672,person,,,,,,when the new call of duty comes out and you're already camping,bad
1682,"person, orange, book",,,,,,"The text in the image is:  ""fuck allah fuck islam and guck the child raper muhammad  and yes that's pork in the quran""",good
1694,"person, person, cow, cow, cow, cow, person, cow, cow",neutral,latino hispanic,man,24,18-24 years,which one should we butcher first.,bad
1698,"person, person",neutral,white,woman,32,25-34 years,this guy cut her head off workplace violence my ass,bad
1726,"bed, person",,,,,,a real man loads the dishwasher every night,bad
1734,vase,,,,,,"and that was the last time we let uncle larry babysit  Little Jack Telf Was put on the shelf Because he would not spell When his aunt Grace [pie] Saw his sorrowful face, She gave him a pie.",good
1736,"person, person, person, person, person, person, person",,,,,,korean war soldiers come home msnbc no live coverage nbc no coverage cnn 58 seconds abc 24 seconds share if they should be ashamed,neutral
1742,"person, tie, tv",neutral,asian,man,27,25-34 years,in just one hour from now  i'll only have 4 hours left until i have to work a mere 3 hours,bad
1743,person,happy,white,man,29,25-34 years,sen mitt romney wall declaration  let's make this his last to  utah  voted against trumps emergency,neutral
1746,person,,,,,,everyone told me you gonna be a blessing,good
1749,"person, person, tie, person, person, person, person, person, person, person, person, person",happy,white,man,28,25-34 years,so then we told them  cannabis is dangerous and pharmaceuticals are good for you,neutral
1756,person,,,,,,she is a fast runner,bad
1763,toothbrush,,,,,,want a spin?,bad
1765,person,sad,black,man,30,25-34 years,"after a girl dies, what organ in her body stays warm? my dick",bad
1793,person,,,,,,don't mind me i'm only watering my muslims,bad
1794,person,neutral,white,man,28,25-34 years,i beat children,bad
1796,"person, person, tie",happy,middle eastern,woman,37,35-44 years,life hack #23  how to get stoned with no weed,bad
1823,person,neutral,asian,man,44,35-44 years,i too was once a male trapped in a female's body  but then i was born,good
1827,"bird, horse, horse, person",,,,,,if your man is offended by this then he's never been hunting,bad
1829,person,surprise,white,man,29,25-34 years,him: the dishwasher is acting weird her: what's it doing him: chopping fucking vegetables,bad
1835,person,happy,white,man,28,25-34 years,that makes my lady junk tingle,bad
1836,"tie, person",fear,white,man,35,35-44 years,can you hear me at the back?,bad
1842,"dog, dog",,,,,,it's a wiener pit kinda like your mouth,bad
1845,person,,,,,,when you consume too much  trans fat,neutral
1854,"person, person, person, horse",,,,,,when an indian goes for walk with his dog,bad
1865,person,happy,white,woman,31,25-34 years,I'm this pretty because both my parents are white,neutral
1875,"person, bench, person, person, handbag, handbag, backpack, backpack",,,,,,does anyone know if he had a donor card?  i need parts for my go-cart,bad
1892,person,neutral,black,man,41,35-44 years,i did not divide the country  the republican decision to obstruct every single thing i proposed to help us dig out of the financial crisis they caused divided the country,good
1894,person,,,,,,we haven't t seen any new jesus appearances on pancakes in a while  i hope he's okay.,bad
1896,person,fear,middle eastern,man,42,35-44 years,terrorism is just part and parcel of living in a big city. sadiq khan london mayor  tokyo: over 13 million people no islamic terrorism,bad
1924,"person, person, person, person, person, person, frisbee, person, bed, backpack",sad,white,man,34,25-34 years,"The text in the image reads:  - ""whats the difference between a feminist and a suicide vest?"" - ""a suicide vest actually accomplishes something when its triggered""",bad
1925,"person, cup, vase, dining table, book, tv",,,,,,i am not racist i just don't like brown sugar,neutral
1936,,,,,,,we said we would never forget why are you voting them into our governement?,good
1937,"person, person, person, person",happy,middle eastern,woman,27,25-34 years,"when you find a shooter the same day you plan a bombing, so you team up",neutral
1943,"person, person",,,,,,person i chase: *shows clear signs he doesn't want to do anything with me*  me: i'm gonna pretend i didn't see that,bad
1953,"person, person, person, handbag, person, tv, person, person, person, person, elephant, person, person, person, person, person",,,,,,"The text in the image reads:  ""muslim + hunt = less muslims""",bad
1954,"car, person, car",,,,,,the best part about a prostitute dying on you is you get the second hour free,bad
1956,"sports ball, dog",,,,,,i am a crocodile!,bad
1962,person,,,,,,i put makeup for my profile photo,bad
1967,"person, person, person, person, person, person",sad,black,man,31,25-34 years,when you decide to stop racism by burning its symbol,bad
1972,cat,,,,,,you don't have a cat? this is your lucky day! i'm moving in!,bad
1974,person,sad,latino hispanic,man,29,25-34 years,The text in the image is:  - hiroshima - hiroshima - nagasaki - everybody needs a friend,bad
1975,"horse, person, horse",neutral,asian,man,24,18-24 years,valentine in islamic countries,bad
2139,person,,,,,,no less beautiful,bad
2143,person,neutral,middle eastern,man,42,35-44 years,"doesn't have food, water, electricity proud of nuclear weapons",bad
2145,"chair, chair, dining table, bowl, cup, cup, cup, bottle, bottle, sports ball, cup",,,,,,"and then I asked mom, what's for dinner?",neutral
2146,"bird, bird, bird, bird",,,,,,from the bottom of my heart i would like to sincerely apologize.....  for being white,bad
2153,teddy bear,,,,,,when you're arguing with someone  Kermit the Frog  HOLLYWOOD WALK OF FAME Presented To Kermit The Frog on the occasion of the placement Hollywood Walk of Fame November 11 Hollywood Chamber  and trying notto hit them,good
2156,person,,,,,,never forget,bad
2157,,,,,,,"mohammed  i'm pregnant....  don't sass me, you know it's funny! ~cupcakes",bad
2158,bird,,,,,,i like my women like i like my chickens held in captivity until i behead them,neutral
2165,"person, person",,,,,,The difference between moderate Muslim and radical Muslim  follow my allah or i kill you!  follow my allah or he kill,good
2168,person,sad,white,man,30,25-34 years,how many fucking accounts do you assholes have?,bad
2169,person,,,,,,"to see better, asi ans sometimes switch to fullscreen view",bad
2185,person,,,,,,wceeeeee! back over the border you go!,neutral
2194,"person, person, person, person, person, person, person, person, person, person, handbag, person, sheep",,,,,,when you're a good farmer who raises healthy animals,bad
2315,"tie, person, person",sad,white,man,35,35-44 years,don't forget me!!!!!! i'm an asshole too!!!,neutral
2316,person,happy,black,man,45,45-54 years,they can kill the messenger but they can't kill the message,bad
2317,person,sad,white,man,31,25-34 years,white trash go to hell trump fuck donald trump,good
2351,,,,,,,when karen helps u camouflage the crackhouse  autistic child area,bad
