id,text
35604,if you got your phone wet try leaving it in dry rice overnight. it will attract the water from the phone and fix your electronic for you
35607,sends 6 million to heaven knows jews are god's chosen people
35608,"if adam & eve were native american  try this apple, it's tasty..."
35614,"The text in the image is:  ""how do you play taliban bingo? b-52..f-16...b-1..a-10"""
35618,i woke up like this
35620,when you try to catch a dark type pokemon
35628,breaking news  the people don't believe our bullshit anymore
35640,say it with me folks  radical liberal terrorism
35642,i got some down bitches i can call
35647,"we're just here to post shit we find funny  please know that if that offends you, we find that shit funny also"
35670,if this terrorizes you  and this doesn't  something is very wrong with you
35671,jews:*exist* hitler: there's enough goofy gas for everyone
35674,you don't have to be lonely  at trump haters.com
35678,stop illegal immigrants  they're taking the land we stole
35680,take one step at a time time you have to crawl before you can learn to walk
35684,when you tell him he can't marry a 6 years old while he lives in us.  what do you mean?
35687,the most terrifying pirate :)
35689,i was there when the bomb exploded
35691,da look dog gave mina after they fucked that tranny together
35692,my wife threw me out after she caught me measuring my cock  it just reaches the back of her sisters throat!
35701,I don't always play golf but when I do I go balls deep
35708,like if you had one of these only the 1840's kids will remember
35709,"bend over, touch your toes i'll show you where the monster goes"
35716,i don't care what these liberal pro lgbt government officials say if i see a man follow any of the females in my family into the bathroom  he'll crawl out looking like this
35719,Jamal is practicing for class sport
35724,"the most racist people are  the ones crying ""racist"" all the time!"
35729,looking for attention? join us
35740,is it legal to masturbate  to pictures of yourself as a child?
35746,don't mind me just harvesting memes
35764,"The text in the image reads:  ""leo varadkar stars in..."" ""tranny without a fanny"" ""coming soon in dail anal"""
35780,"The text in the image is:  ""fuck, my mom is gonna kill me fuck, my mom is gonna kill me"""
35781,The text in the image is:  ``` faceswap ching chong 100 ```
35784,everyone wants colonel sanders autograph  when they see him out in public
35786,get your fucking hawns  aff ma willy
35789,"The text in the image says:  ""death to all muslims"""
35794,i like my coffe like i like my slaves  extra dark
35796,i hate it when white people throw gang signs thinking they're black and shit
35801,happy pride month y'all disney proudly presents  the gentleman and the tranny
35802,It's getting hot in here so take off all ur clothes
35814,ohhh i see..  so you found a bitch that does it without the peanut butter
35840,i ordered a dishwasher and they sent me a sandwich maker
35860,sacred cross? let me call my friend who's an expert in holy relics
35861,The text in the image reads:  - Banner in the streets - Hulk in the sheets
35869,smoochies from donald  on your birthday!!!
35870,monkey face monkey attitude
35890,"a vaginal is like a tin roof  if you don't nail it enough, it ends up over at the neighbors"
35894,"shoot boy, i ain't racist  i've got four black  tires and a color tv"
35896,Once you go black you a stand-up comedy forever a single mom
35902,when all those shrugs from not knowing what to eat are starting to pay off
35907,dishwasher is broken? slap her a few times
35910,am i hearing the american people correctly you want to hand over all your means of protection and make it easier for terrorists to come into the country? gotcha!
35912,"i don't always marry first graders..  ...but when i do i wait until they are third graders before i violate them like my goats stay violent, brutal, and backward my friends"
35917,"The text in the image reads:  ""I pictured a black girl naked today can I get an std from this?"""
35924,it's not rape it's a snuggle with a struggle.
35942,you know why muslims hates pigs? because they fuck donkeys!
35948,the granny and the tranny  clinton/obama 2020 democrat's secret weapon for 2020
35964,has an interview.. ...shoots out truth
35967,shoutout to all the ladies who don't gotta be half naked to get a mans attention.  the rest of you bitches come with me
35970,when i grow up... lol nevermind
35971,"The text in the image is:  ""my god will kill your god, kill all infidels, lets burn this place. islam is peaceful!!!"""
36014,official white house holiday ornaments
36021,someone else used kids to push an agenda
36025,then they gave me a crown of thorns and whipped me  it was so hot i came twice
36027,me: i promise i'll watch tv with you quietly three commercials later  ...the jewish press ...will have their lying mouths shut for them!
36028,this isn't even my real ashes.
36029,stupid neighbours woke me up
36048,this would be racist  if black people could read
36049,knowing white people he's probably the father
36054,and then i beat the usa immigration sytem by marrying my own brother!  and i even got a job in congress! these americans are so stupid!!!
36058,love is love
36072,"she said ""choke me daddy""  so i gave her 2 popeye's's biscuits without a drink"
36075,be happy you dont have neanderthal dna
36079,there is no hindu terrorism in india. what if say it isn't true? will shoot you dead
36081,in this edition we don't buy property; we steal it!
36089,adding coolant when the farm equipment overheats
36092,who is it and what do they do
36095,"when men ask for my number, I give them my ex's number  so when they call looking for me, he'll know I'm getting men regardless"
36097,oh sweetie  it's a little late for that  new york  is it though?
36098,When your master refuse to feed you a watermelon after you pluck cotton from his field
36102,questioninging america's support for fascist israel... is unacceptable
36107,when it's time to talk about the birds and the bees
36109,"""one mans trash is another man's's treasure"" is a great quote but, it's a shitty way to tell a kid they're adopted """
36120,so you're telling me...  you smoke a plant that makes you hungry for fun?
36128,today we're making vegetable soup!  the most disturbing thing i've seen all day... flyboy
36152,"when your eating out your grandma and you taste horse cum then think to yourself ""Oh that's how she died"
36158,when your girlfriend says  treat me like a princess
36174,every man needs a decent coffee maker
36175,oh look my new dishwasher arrived
36178,you knew that was the wrong purse... are you serious!
36179,"you thought hillary was in the clear? oh cupcake, have i got a surprise for you!"
36184,"what did i do, i am so angry at myself"
36185,"The text in the image reads:  ""I told my gay friend that I can turn fruits into vegetables and he told me to prove it. So I pushed him off a balcony."""
36187,"The text in the image says:  ""mama i just killed a man"""
36189,i reckon i like them titties  mmmm hmmm
36190,The text in the image reads:  - immigrants - illegal aliens
36197,"when you fire up your 30 year old straight piped shitbox  ""hell yeah brother"""
36201,look at me bling up my prosthetic
36204,when you finally headshot 150  black people
36207,selling this unique farm equipment  still works and runs like a champ. Serious inquiries only
36210,"The text in the image is:  ""when i eat breakfast vs mornigs when i don't"""
36214,the face non-car people make when you tell them you blew a tranny
36240,happy age advancement day  i suppose congratulations are in order?
36248,i heard you need a new tranny?
36254,my culture has great food!
36281,everyone wants me to read the constitution  but it's written in cursive
36294,when you accidentally send a d**k pic  to your mother
36401,"adults should understand this is a hijab, a big part of my culture"
36415,i am not racist and my best friends aren't either.
36417,this is how lesbians have sex
36418,"well, i guess we'll.. beheading home now"
36420,cop: please step out of the car  me: i'm too fucked up. you get in.
36421,freakin white people...  so annoying..
36429,"this man was accused of raping his 16 y old daughters friend and all he had to do was deny the accusations  thenthe girl committed suicide because they said she was lying, the democrats protected this pos"
36450,keeping your dishwasher clean will make it last longer
36452,"what did you hear on the wiretap, barry? he said he really is going to make america great again"
36458,anyone else hate how hard these spot the difference pictures are getting?
36459,kid with cancer: so when i get out of the hospital i'm going to join you?  the avengers visiting him:
36470,made rice krispies way before kellogg's
36472,"The text in the image says:  ""when you finger an asian girl"""
36478,where's the chex mix
36480,i don't understand your specific kind of stupid. but i do admire your total commitment to it.
36481,"The text in the image reads:  ""i'm dreaming of a white christmas"""
36497,how to get a black guy  to see his baby
36498,that's right goat fucker i'll triple tap your muslim ass
36501,you need some jesus
36508,we can kill as many as we want  and your stupid government keeps bringing us in
36521,the face you make  when one of those damn apes cancels your show
36524,"the most racist people are the ones crying ""racist"" all the time!"
36540,The text in the image reads:  - safe sex - isis style
36541,bruhh.. white ppl give me a headache
36542,911 three white kids in the park planning the next school shooting  two can play that game
36570,or we'll kill you stop making fun of our peaceful religion
36571,"mexicans hugging and kissing walls and fences, to show their love for border controls  Refugees Immigrants Welcome"
36578,"The text in the image reads:  ""patrick kenneth x lebron james scandal"""
36581,russian flag
36590,this offends me ban them  do you agree?
36597,white people after 10 shots  black people after 10 shots
36598,i'm not saying i'm fat i just have more chins than a asian phone book
36710,rise of the planet of the apes (1963)
36724,when mama say sit yo monkey ass down
36725,"The text in the image reads:  - ""what dogs look like to black people"" - ""what dogs look like to asians"" - ""what dogs look like to white people"""
36729,when your little bomber brings home  his first girlfriend
36741,The text in the image is:  not all heroes wear capes
36748,i don't think my porn finished downloading
36749,somehow we went from this  to having american hating radical muslim anti-semites and socialists  not only in congress but on the foreign intelligence committee.  how the hell did this happen?!
36751,and then he said that he could only 6 burgers
36780,i love pancakes
36781,in your country police    are paid to protect    poor liberals  and rich liberals who want to disarm everybody
36789,you've been hungerstruck!!
36804,meanwhile at the isis strip club
36805,"look at the plane, *was it's your uncle samir"
36810,crazy bitches be like.. who the fuck is amber alert?
36812,"The text in the image reads:  ""evolution if you don't believe you are idiot"""
36814,he didn't let his disability hold him back
36821,take your fuckin' muslim ass back to the sand box!
36840,when you realize  you put your dick in crazy
36842,so you're against immigration?  splendid! when do you leave?
36845,"""transgenderism"" is a mental illness, not an ""identity""  mandatinging public acceptance is sociopathic tyranny"
36850,girl during sex: make me your slave  me: muslim
36870,"""don't cry because it's over smile because it happened"" -dr. seuss"
36872,for the last time.. i'm not michelle obama.
36875,guys i think my dog has autism lmao
36892,"The text in the image reads:  ""is there any greater joy for us men than raping women? what in the goddamn fuck"""
36895,Sorry I'm late. having car trouble
36897,hey canada....!!!  your getting a wall too you fucking snow mexicans
36910,"at first i couldn't shoot  then i thought ""shit...  that's how i'd want to go!"
36915,stop making fun of our peaceful religion  i will pray for you
36920,i love the poorly educated  wish granted
36924,every one is  afraid of this man
36928,some people aren't your friends  they're just scared to be your enemies
36945,transgender satan is not amused
36947,"The text in the image reads:  ""gays on social media: equality! body positivity! love love love! gays in real life, there is no place for her in our social circle."""
36954,you guys read my diary? wtf?
36957,white people before they leave the house be like.
36972,need a job? the democrat party is hiring  no experience or intelligence required
36974,do you have any idea how black you were going? black
36980,"The text in the image is:  ""run forrest!!!"" ""run!!! :d"""
36981,"when someone says, ""money can't buy happiness.""  then explain these.."
36982,if two gay black men get married and adopt a baby  which father is supposed to abandon the family
36985,Okay now make sure to get my good side
37018,muslims have sex with goats wipe their asses with their hands and drink camel piss  but I'm the unclean one!
37021,"The text in the image reads:  ""all kinds of people may worship Odin except gays, jews, transgender, sex workers, arabs, asians, non-whites, hispanics, and niggers."""
37024,a boy and his pet goat
37042,while he lives in us. what do you mean? marry a 6 years old when you tell him he can't
37049,kids in africa dancing and having a good time
37051,he told me he was a democrat  i asked if i could borrow a tampon
37052,oh boy can't wait to clean myself up in the 90065 showers that the guards are taking us to!
37054,what's worse than ants in your pants? uncles
37058,"when blacks started wearing their pants low, white people called it ""saggin."" spell saggin backwards...  those sneaky white people"
37059,after goat herding mohammed is very tired
37084,stay in step you loser
37091,my sandwich-maker is very slow today
37092,mentally retarded teenagers with stuffed animals they made
37096,The text in the image reads:  - andre lyons - hakeem lyons - jamal lying
37105,person i chase:'shows clear signs he doesn't want to do anything with me' me: i'm gonna pretend i still have a chance
37128,"there's incest, and then there's sisterfister incest!"
37129,me: puts bag of popcorn into the microwave every one else at the senior center:
37140,"The text in the image reads:  ""removes polish with chemicals nobody bats an eye  removes polish with chemicals everybody loses his shit"""
37145,when you finally give in and agree with  you'll spend time with her parents
37146,we as american condemn terrorist attacks to our country
37160,"best gamer ever  6 million kills, 1 death"""
37180,look dad im doing it  you did it tyrone! you stole your first bike
37182,i may be blind but at least i'm not black
37184,racing for pink slips in africa
37185,"The text in the image says:  ""don't be rude, folks go to their page and wish them a happy easter"""
37186,starving mexican monkey eating peanuts
37190,oh look. this thread again
37198,when you're so relaxed you can feel yourself go to the next level
37204,moses and the 10 commandments
37208,why you asking stupid questions
37214,u gotta be prepared for disloyal sh*t  no matter how loyal u are to a person
37250,oh boy i hope i get out of here so i can go home and check on my dog
37251,when you successfully shot all the muslims in the mosque but isis doesn't claim the assault
37254,who knew that this country is full of white trash
37256,"no generation in american history has let the government get by with so much,  are we a generation of cowards or are we going to take our country back?"
37259,loyalty always has a cost some times it pays off...  ...and some times you take a loss
37260,"The text in the image reads:  ""need for speed: africa"""
37265,mission: get out of bed status: close enough
37284,The difference between moderate Muslim and radical Muslim  follow my allah or he kill you Moderate Muslim  follow my allah or i kill you! Radical Muslim
37285,"The text in the image is:  ""I'm sure glad I dodged that bullet fuck white women asians are cute and tight asf I should know, I watch anime and hentai"""
37289,hitler be like  I deserve to be in heaven I knew it
37294,"""Life is like a box of chocolates."" it sucks if you have diabetes"
37295,how to get a black guy to see his baby
37296,sandwiches  we can do it!
37298,"The text in the image reads:  ""muslim 'logic': pork is unclean. but... drink camel urine, since it is'medicine' according to Mohammed, 'who was perfect'"""
37402,when your stoner friend looks in your fridge
37405,introducing fidget spinner for women
37408,i love everything and everybody! except for squirrels  i hate squirrels
37416,influence elections? you mean like encouraging illegal immigrants to vote?
37419,when the turbulence in the plane gets intense
37420,like lebanon terrorism  can destroy  a beautiful country
37425,clint eastwood and michelle obama
37426,illegal aliens should be america's number 1 export
37450,"The text in the image reads: ""helen keller and her beloved cat,'mittens'""."
37451,when the air hostess gives you two extra slice of bread and a pack of milk  but you still have to blow up the plane anyway  musalman
37459,"lash christmas, i gave you my heart...  but the very necks day. you gave it away!"
37465,The text in the image reads:  - how black people - became christians
