id,detected_objects,Dominant Emotion,Dominant Race,gender,age,age_group,text
1235,person,happy,middle eastern,man,43,35-44 years,when you're feeling horny asf but your habibi is on periods let's try a goat
1236,"person, sheep, sheep, sheep, person, sheep, sheep, sheep, sheep, person, person, person, sheep, cow",happy,middle eastern,man,35,35-44 years,meanwhile at the isis strip club
1243,dog,,,,,,"when your human says ""who' s a good girl?""  and you already know it's you"
1245,person,,,,,,and that was the last nativity play my son was invited to take part in.
1247,"tie, person",sad,white,man,28,25-34 years,you can't be racist if there is no other race
1256,dog,,,,,,when your debit card decline at the abortion clinic  and they have to put the baby back in
1258,"person, umbrella, backpack, umbrella",,,,,,ladies! if your man is offended by this he is a faggot. end of story
1264,bear,,,,,,you're a special kinda nuts  aren't you?
1268,"person, chair, couch, chair",fear,asian,man,34,25-34 years,father and daughter bonding time is the best like and share if you agree
1269,teddy bear,,,,,,"The text in the image says:  ""kermit the frog definitely not a muslim"""
1274,"person, bed",neutral,asian,man,39,35-44 years,how you guys think you looks like  but when pados wale pandit jee sees you  taba renso
1275,"tie, person, motorcycle",angry,black,man,41,35-44 years,if you think t willl stop eating palony and viannas  voetsek!!!  stupid no drama here
1276,person,,,,,,a smile is worth a thousand words
1284,person,,,,,,"The text in the image says:  ""muslims offend me"""
1293,bird,,,,,,when you forget to wash your hands
1295,"chair, chair, person, chair, chair, chair, chair",,,,,,"The text in the image reads:  ""men wearing dresses and molestinging our children? the word you're looking for is clergy, not transgender"""
1324,"person, person, book, person, person, book, person, tie, person, person",happy,white,man,37,35-44 years,the great train robbers
1325,person,,,,,,when your world cup team scores a goal
1327,person,,,,,,"I'm not sick, I'm twisted sick makes it sound like there's a cure"
1329,"person, person, suitcase",,,,,,saddle up motherfuckers  it's time to play cowboys
1348,"person, sheep, sheep, sheep, person, sheep, sheep, sheep, sheep, person, person, person, sheep, cow",happy,middle eastern,man,35,35-44 years,meanwhile  at the isis strip club
1349,"person, person",happy,asian,man,24,18-24 years,girl you're so special  i'm gonna give you a gold star
1359,"person, person, tie, cell phone, tie",angry,latino hispanic,man,26,25-34 years,area 51 naruto runners  naruto runners  let me in let me in!
1364,"person, person, person, person, person",sad,white,man,23,18-24 years,and that was the last nativity play my son was invited to take part in
1379,"person, person, person",,,,,,"The text in the image reads:  ""american teenage girl visiting the children of africa"""
1382,person,,,,,,The text in the image is:  - my body my choice - Abortion
1389,"cat, person",,,,,,confession-every sunday around brunch time  i take my cat to the mall and make people take pictures of us
1392,"cell phone, person",happy,black,man,29,25-34 years,hello jesus  thanks for making a way!
1395,"person, person",fear,asian,man,33,25-34 years,i just found out mexican babies come out just like the food
1423,"person, bed",,,,,,when you want to nap after a long day of mudding
1436,,,,,,,when the school shooter accidently shoots the autistic kid but doesn't know that the tard strength makes him impervious to bullets
1439,"cow, cow",,,,,,"The text in the image reads:  ""im long and strong and down to get the goat hump on"""
1452,bird,,,,,,the feeling after a long day at work
1456,"person, person, person, person, person, person, person, person, person, person, person, tie, person, person, person, person, tie, person, person, person, person, person",,,,,,they see them rollin..... they hating...
1459,person,,,,,,trust me...  ...they're re all terrorists
1465,"person, person, person, person, person, handbag, person",,,,,,there is difference between violating muslims and other muslims  don't get confused
1467,person,happy,middle eastern,man,24,18-24 years,It's a great day to be a honky!
1468,"person, sink, toilet",fear,white,woman,28,25-34 years,"assad: my son exploded  better than yours, lol hamid:"
1469,person,,,,,,"The text in the image is:  ""When you punch the muslim kid so hard that he starts having seizures and fucking dies the bomb has been defused"""
1472,"person, cup, chair",neutral,asian,woman,29,25-34 years,in my country this headdress is common to wear if you want to. here in other countries i am also free to wear it if i want to
1475,"tie, person",,,,,,"The text in the image is:  ""last time muslims invaded europe vlad stuck poles up their asses and made a fucking forest be like vlad"""
1476,person,sad,white,woman,30,25-34 years,I'm confident in my own skin
1483,"person, person, person, person, person, person, person, person, person, person, person, person, person, person",sad,black,man,31,25-34 years,"feeling bored, let's go to a mosque"
1487,"person, book",fear,white,man,37,35-44 years,When you forget you're retarded Howard Stern 1-90-STEEN Howard Stern
1492,person,neutral,asian,man,28,25-34 years,i don't like the sun so i wear a visor
1497,"person, bottle, person, umbrella",,,,,,now back to the Islamic classic.. married to children
1498,person,fear,white,woman,29,25-34 years,democrats claim daca kids shouldn't have to pay for their parent's crimes...  ...but white people are still responsible for 17th century slave owners??
1524,"person, cell phone, person",,,,,,when you catch your goat with another man
1526,"person, keyboard, tv, cell phone",happy,white,woman,31,25-34 years,put the money in a bag. now! that will be $0.15
1527,person,,,,,,oh no i can't run anymore
1529,"person, person, person, person, person, person, person, person, person, person",,,,,,acceptance of individuality is not a disgusting thing
1546,"person, tie",,,,,,"The text in the image says:  ""kill the jews and muslims for being anti-white"""
1547,"cup, cup, bowl, cup, bottle, cup, bowl, cup, person, bottle, person, bowl, bowl, bowl, person, bottle, bowl, person, cup, cup, cup, spoon, spoon, wine glass, bowl, carrot",happy,white,woman,30,25-34 years,how mexicans be like...  when they hear their friends kid is having a birthday party
1548,"person, person",neutral,white,woman,35,35-44 years,"what are they fighting over? is it:  a) the last pan ducle b) he accidentally touch the homies hand passing a beer? c) foo used the last of the three flowers. d) homie said ""i got you on gas"" but he only has $3!"
1564,person,happy,white,man,28,25-34 years,puts on sunblock doesn't protect from harmful rays
1568,person,,,,,,"The text in the image reads:  ""do you think a terrorist has or could infiltrate our goverernment???"""
1569,"person, person, spoon, chair, bowl, potted plant",,,,,,when you can't decide to pre heat the oven  or just throw the meal in right away
1576,"person, bird",,,,,,"The text in the image is:  ""When your ex ask you for help"""
1578,"person, person, person, person, person, person, person, person, sports ball, person, person, person, person, person, frisbee",,,,,,"The text in the image says ""sea monkeys."""
1579,"person, person, person, person, person, person, person, person, person, backpack, baseball glove",,,,,,"Muslim figure: ""We must have pork-free menus or we will leave U.S.""  Bacon America great again!"
1589,person,neutral,white,man,45,45-54 years,has an orgasm...  ...shoots out tranny fluid
1598,dog,,,,,,men are like dogs we're excited to see you...  and have no clue what you're mad about
1627,,,,,,,jew jerky: leave out in the sun until all moisture is gone  store in a cool dark place for 3 days
1634,"person, sheep, scissors, scissors",,,,,,"aye, tone! why would dey delouse 'em if dey was just gonna whack 'em?!"""
1637,,,,,,,this time jesus you're not getting away
1642,person,,,,,,this would be racist  if black people could read
1643,"person, person, toothbrush, toothbrush",neutral,latino hispanic,woman,25,25-34 years,i'm not a racist  my shadow is black
1649,"person, tie",happy,white,man,44,35-44 years,"The text in the image reads:  ""american cops when they graduate police academy let the black man come forth! let murder be done upon him!"""
1653,"person, cat, person",,,,,,"a girl asks her mom, ""why am i black and you're white?""  she says, ""the way that party went, you're lucky you don't bark."""
1658,"person, person",neutral,white,woman,28,25-34 years,first rule of fight club..
1672,person,,,,,,when the new call of duty comes out and you're already camping
1682,"person, orange, book",,,,,,"The text in the image is:  ""fuck allah fuck islam and guck the child raper muhammad  and yes that's pork in the quran"""
1694,"person, person, cow, cow, cow, cow, person, cow, cow",neutral,latino hispanic,man,24,18-24 years,which one should we butcher first.
1698,"person, person",neutral,white,woman,32,25-34 years,this guy cut her head off workplace violence my ass
1726,"bed, person",,,,,,a real man loads the dishwasher every night
